id,symbol,name,image,current_price,market_cap,market_cap_rank,total_volume
quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,118.12,1717986117,48,35435311
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1843.74,1698889452,49,188769967
sei-network,sei,Sei,https://assets.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.730682,1681025102,50,432837399
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1696504978,0.199896,1605212680,51,123699630
ordinals,ordi,ORDI,https://assets.coingecko.com/coins/images/30162/large/ordi.png?1696529082,76.06,1597236192,52,644160547
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.167668,1572499588,53,82822807
bittensor,tao,Bittensor,https://assets.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,258.48,1549552888,54,14202368
render-token,rndr,Render,https://assets.coingecko.com/coins/images/11636/large/rndr.png?1696511529,4.02,1507451840,55,188970141
thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,4.95,1489978816,56,908507831
elrond-erd-2,egld,MultiversX,https://assets.coingecko.com/coins/images/12335/large/egld-token-logo.png?1696512162,54.24,1433750702,57,44290797
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1696512452,97.14,1428322389,58,167687201
rocket-pool-eth,reth,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1696520159,2524.64,1420190998,59,4824312
sats-ordinals,sats,SATS (Ordinals),https://assets.coingecko.com/coins/images/30666/large/_dD8qr3M_400x400.png?1702913020,0.000000645356,1357061580,60,60775135
mina-protocol,mina,Mina Protocol,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1696515261,1.18,1214791610,61,85536462
osmosis,osmo,Osmosis,https://assets.coingecko.com/coins/images/16724/large/osmo.png?1696516298,1.89,1198927873,62,45856258
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1696513210,0.801235,1186875487,63,66600213
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.394745,1106091699,64,107899317
havven,snx,Synthetix Network,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1696504103,3.31,1085329629,65,59916244
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,1.069,1070129773,66,25015222
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1696512817,7.82,1058264407,67,69835122
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1696511971,0.493072,1045922429,68,106342674
