id,symbol,name,image,currentPrice,marketCap,marketCapRank,fullyDilutedValuation,totalVolume,priceChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,circulatingSupply,totalSupply,maxSupply,ath,athChangePercentage,athDate,atl,atlChangePercentage,atlDate,roi,lastUpdated,roi/times,roi/currency,roi/percentage
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,46898,7419838499,17,7419838499,418495873,7.6973,534128912,7.75706,158168.98879455,158168.98879455,158168.98879455,70643,-33.72938,2021-11-10T14:40:19.650Z,3139.17,1391.34248,2019-04-02T00:00:00.000Z,,2024-01-09T03:56:10.034Z,,,
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,13.18,6005298433,18,6768310921,443521783,24.04777,1162989850,24.01726,455049852.854508,512866916.270284,,700.65,-98.12268,2021-05-10T16:05:53.653Z,2.87,359.10338,2023-09-22T00:29:57.369Z,,2024-01-09T03:55:58.552Z,,,
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.00000941,5552564914,19,9422282156,202966815,7.71222,427511086,8.34159,589291111693461.5,999982388721745,,0.00008616,-89.08698,2021-10-28T03:54:55.568Z,0.000000000056366,16680979.88246,2020-11-28T11:26:25.838Z,,2024-01-09T03:56:01.057Z,,,
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1,5304640490,20,5305647400,201392716,0.29853,35036191,0.66487,5302473082.79197,5303479581.63991,,1.22,-17.90581,2020-03-13T03:02:50.373Z,0.88196,13.45994,2023-03-11T07:50:50.514Z,,2024-01-09T03:55:15.429Z,,,
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1696501400,66.93,4953186771,21,5617081827,959915844,7.38095,314370573,6.77696,74071858.2334713,84000000,84000000,410.26,-83.70086,2021-05-10T03:13:07.904Z,1.15,5720.54085,2015-01-14T00:00:00.000Z,,2024-01-09T03:56:10.510Z,,,
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,248.29,4869832197,22,5215405620,324212534,9.00177,419677353,9.43062,19608537.3966508,21000000,21000000,3785.82,-93.42826,2017-12-20T00:00:00.000Z,76.93,223.38321,2018-12-16T00:00:00.000Z,,2024-01-09T03:56:12.668Z,,,
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1696512319,6.15,4636203450,23,6150714343,235010351,6.44101,264872425,6.05931,753766667,1000000000,1000000000,44.92,-86.3521,2021-05-03T05:25:04.822Z,1.03,495.08319,2020-09-17T01:20:38.214Z,,2024-01-09T03:56:04.641Z,,,
cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,9.9,3777625539,24,3777625539,185176484,8.62117,298904554,8.59237,382077064.447603,382077064.447603,,44.45,-77.84366,2022-01-17T00:34:41.497Z,1.16,748.92743,2020-03-13T02:27:44.591Z,,2024-01-09T03:56:07.455Z,98.00692139828146,usd,9800.692139828147
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,4.04,3744089773,25,3975055339,1456560,3.64039,134207041,3.71777,927993407.9,985239504,,8.14,-50.47793,2022-02-08T17:40:10.285Z,0.799859,403.6875,2019-12-24T15:14:35.376Z,,2024-01-09T03:55:37.883Z,,,
injective-protocol,inj,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,42.77,3614193863,26,4289561484,521910625,21.85964,660237884,22.35097,84255555.66,100000000,,44.57,-4.05433,2023-12-24T05:35:15.371Z,0.657401,6405.39347,2020-11-03T16:19:30.576Z,,2024-01-09T03:56:04.553Z,,,
near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1696510367,3.41,3457011434,27,3993773133,289388508,13.11859,402581161,13.18024,1013883365.91323,1171306553.21954,,20.44,-83.34741,2022-01-16T22:09:45.873Z,0.526762,546.11206,2020-11-04T16:09:15.137Z,,2024-01-09T03:56:09.378Z,,,
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.119135,3370753123,28,5961266804,93830071,3.77455,122978227,3.78654,28273131437.1007,50001787052.8864,50001787052.8864,0.875563,-86.41931,2018-01-03T00:00:00.000Z,0.00047612,24874.08734,2015-03-05T00:00:00.000Z,,2024-01-09T03:56:13.859Z,,,
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,54.16,3253238742,29,12793778056,6449449,2.89519,102014972,3.23731,60000000,235957685.3,300000000,64.92,-16.35359,2023-11-14T16:15:10.918Z,0.580608,9253.0914,2019-01-14T00:00:00.000Z,,2024-01-09T03:56:14.357Z,,,
optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,3.39,3248853282,30,14574922673,311437953,13.09768,523995883,19.23021,957378568,4294967296,4294967296,4.13,-18.16772,2023-12-27T19:10:43.356Z,0.402159,740.97411,2022-06-18T20:54:52.178Z,,2024-01-09T03:56:00.293Z,,,
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,20.2,2890094043,31,4252331013,142541168,7.31246,195872609,7.2701,143202119.751449,210700000,210700000,167.09,-87.90978,2021-05-06T18:34:22.133Z,0.615038,3184.51083,2016-07-25T00:00:00.000Z,,2024-01-09T03:56:09.288Z,43.895371587020776,usd,4389.537158702078
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,5.76,2833697008,32,11281718812,348005151,9.73857,251802158,9.75261,492551854,1960982950,1960982950,236.84,-97.57381,2021-04-01T13:29:41.564Z,2.64,117.57946,2022-12-16T22:45:28.552Z,,2024-01-09T03:55:54.510Z,,,
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1696503035,1.99,2831621281,33,3597137415,398023965,23.54027,532214602,23.14574,1431106709.23134,1818000000,1818000000,3.39,-41.44198,2021-12-01T01:32:34.725Z,0.04559639,4253.20382,2020-03-13T02:29:26.415Z,,2024-01-09T03:55:35.851Z,15.586364233079058,usd,1558.636423307906
lido-dao,ldo,Lido DAO,https://assets.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,3.1,2767957926,34,3109447735,160881609,9.25148,230790545,9.09639,890176700.551559,1000000000,1000000000,7.3,-57.37888,2021-08-20T08:35:20.158Z,0.40615,666.35913,2022-06-18T20:55:12.035Z,,2024-01-09T03:56:05.500Z,,,
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.079971,2687424136,35,3995826895,90583553,11.05112,266523686,11.00928,33627884869.5176,50000000000,50000000000,0.569229,-85.97861,2021-09-15T10:40:28.318Z,0.00986111,709.37945,2020-01-02T17:30:24.852Z,,2024-01-09T03:56:06.769Z,,,
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,147.33,2675854970,36,,136086396,1.39196,41183115,1.56312,18147820.3764146,,,542.33,-72.82758,2018-01-09T00:00:00.000Z,0.216177,68067.83944,2015-01-14T00:00:00.000Z,,2024-01-09T03:56:04.139Z,,,
aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,8.63,2664702267,37,9270422375,169561565,7.9959,197542001,8.00686,308915845.804572,1074709322.9315,,19.92,-56.75773,2023-01-26T14:25:17.390Z,3.08,179.69496,2022-12-29T21:35:14.796Z,,2024-01-09T03:55:44.418Z,,,
immutable-x,imx,Immutable,https://assets.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.98,2615288638,38,3956595063,80430049,10.06709,241587181,10.17766,1321989537.490024,2000000000,2000000000,9.52,-79.22124,2021-11-26T01:03:01.536Z,0.378055,423.23759,2022-12-31T07:36:37.649Z,,2024-01-09T03:56:03.799Z,,,
kaspa,kas,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.113579,2530199901,39,2530199113,36438738,11.93721,291027216,12.99709,22242215598.1107,22242208668.5445,28704026601,0.152699,-25.78522,2023-11-19T21:34:58.238Z,0.00017105,66153.03663,2022-05-26T14:42:59.316Z,,2024-01-09T03:56:01.167Z,,,
crypto-com-chain,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.09076,2403408501,40,2724131251,17896377,7.80624,177785363,7.98812,26467981312.0259,30000000000,,0.965407,-90.6064,2021-11-24T15:53:54.855Z,0.0121196,648.26317,2019-02-08T00:00:00.000Z,,2024-01-09T03:56:07.140Z,,,
arbitrum,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1696516109,1.8,2293283760,41,17986539290,1127018849,10.27469,228954623,11.09099,1275000000,10000000000,10000000000,2.11,-14.76046,2024-01-04T19:31:06.019Z,0.744925,141.38046,2023-09-11T19:40:49.196Z,,2024-01-09T03:55:47.426Z,,,
celestia,tia,Celestia,https://assets.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,15.75,2287930332,42,15760844081,406361703,20.4174,384668914,20.21104,145865445.558202,1004821917.8082,,17.13,-8.61329,2024-01-05T09:10:02.903Z,2.08,651.20303,2023-10-31T15:14:31.951Z,,2024-01-09T03:55:53.709Z,,,
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1696502256,0.03073429,2237148062,43,2645431429,112706974,11.49538,228890462,11.39747,72714516834,85985041177,86712634466,0.280991,-89.06384,2021-04-19T01:08:21.675Z,0.00191713,1502.89585,2020-03-13T02:29:59.652Z,,2024-01-09T03:55:51.155Z,3.648551334636554,eth,364.8551334636554
true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1696504140,0.997634,2186532735,44,2186532735,332713355,-0.18531,-16057627.30179882,-0.72903,2191213223.34,2191213223.34,,1.62,-38.43005,2018-08-26T20:41:09.375Z,0.88355,12.78566,2020-03-12T10:47:51.380Z,,2024-01-09T03:55:57.047Z,,,
first-digital-usd,fdusd,First Digital USD,https://assets.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,1.001,1937374768,45,1937374768,4830191505,0.12282,98790621,5.37319,1938086728.41,1938086728.41,,1.041,-4.07396,2023-10-23T22:55:15.103Z,0.942129,6.02803,2023-08-17T21:55:41.478Z,,2024-01-09T03:55:52.379Z,,,
mantle,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.607162,1896867676,46,3772163166,179322210,4.18594,75227377,4.12965,3127441863.03314,6219316794.99,6219316794.99,0.691136,-12.20981,2024-01-03T06:34:43.805Z,0.307978,97.01112,2023-10-18T02:50:46.942Z,,2024-01-09T03:55:46.481Z,,,
