id,symbol,name,image,currentPrice,marketCap,marketCapRank,fullyDilutedValuation,totalVolume,priceChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,circulatingSupply,totalSupply,maxSupply,ath,athChangePercentage,athDate,atl,atlChangePercentage,atlDate,roi,lastUpdated,roi/times,roi/currency,roi/percentage
wemix-token,wemix,WEMIX,https://assets.coingecko.com/coins/images/12998/large/wemixcoin_color_200.png?1696512788,2.59,913109816,74,2464334986,5336556,3.71859,30911470,3.50391,351974282.183501,949921381.152637,,24.71,-89.51218,2021-11-21T17:33:44.178Z,0.128398,1918.50818,2021-06-22T12:52:49.089Z,,2024-01-09T03:55:50.631Z,,,
whitebit,wbt,WhiteBIT Coin,https://assets.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,6.23,897160774,75,2250823240,8952559,2.82251,22155728,2.53207,144118517.10815412,361568759,400000000,14.64,-57.56874,2022-10-28T12:32:18.119Z,3.06,102.95468,2023-02-13T19:01:21.899Z,,2024-01-09T03:55:52.875Z,,,
bitget-token,bgb,Bitget Token,https://assets.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,0.636681,890741601,76,1272487093,16620292,5.05515,42195112,4.97263,1400001000,2000000000,2000000000,0.701227,-9.40269,2023-12-19T07:13:51.026Z,0.0142795,4348.98631,2020-06-25T04:17:05.895Z,,2024-01-09T03:55:52.062Z,,,
cheelee,cheel,Cheelee,https://assets.coingecko.com/coins/images/28573/large/CHEEL_%D1%82%D0%BE%D0%BD%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%B2%D0%BE%D0%B4%D0%BA%D0%B0_%283%29.png?1696527561,15.79,849718115,77,15782368371,5447690,4.54388,34264801,4.20193,53839708.6410193,1000000000,1000000000,17.32,-8.89043,2023-07-16T21:40:08.888Z,3.44,358.76897,2023-02-13T02:53:08.933Z,,2024-01-09T03:55:55.209Z,,,
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1696502091,0.924492,831321382,78,914553941,35800085,10.56979,80834288,10.77091,897684939.965869,987561870.788134,,9.12,-89.85682,2021-10-04T00:41:18.025Z,0.350476,163.82934,2018-12-07T00:00:00.000Z,,2024-01-09T03:56:03.564Z,0.9670048385525845,usd,96.70048385525844
neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1696501735,11.77,830291017,79,1177216812,41633988,9.26066,71881828,9.47797,70530000,100000000,,198.38,-94.07026,2018-01-15T00:00:00.000Z,0.078349,14914.14138,2016-10-21T00:00:00.000Z,,2024-01-09T03:55:59.885Z,325.8811677431778,usd,32588.11677431778
astar,astr,Astar,https://assets.coingecko.com/coins/images/22617/large/astr.png?1696521933,0.151292,829356327,80,1261686564,103361350,29.2177,186678956,29.04707,5485281836,8344671843,,0.421574,-64.05968,2022-01-17T13:34:36.289Z,0.03269521,363.41602,2022-10-13T13:05:41.982Z,,2024-01-09T03:55:40.369Z,,,
oasis-network,rose,Oasis Network,https://assets.coingecko.com/coins/images/13162/large/rose.png?1696512946,0.123024,827614232,81,1229776124,44491798,13.20612,95492767,13.0433,6729795897.58809,10000000000,10000000000,0.597347,-79.39001,2022-01-15T03:31:11.062Z,0.03200566,284.66025,2020-11-26T17:09:12.182Z,,2024-01-09T03:55:36.504Z,,,
decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1696502010,0.447329,825883468,82,980701993,51398727,10.02743,76237095,10.16974,1846953062.5328758,2193179327.32015,2193179327.32015,5.85,-92.35625,2021-11-25T10:04:18.534Z,0.00923681,4741.73733,2017-10-31T00:00:00.000Z,,2024-01-09T03:56:11.518Z,21.366474174648985,usd,2136.6474174648984
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1696501893,0.727797,825858199,83,,130738394,6.43194,50815940,6.55654,1134658007.7855,,,22.71,-96.79763,2018-04-29T07:50:33.540Z,0.5024,44.76505,2017-10-23T00:00:00.000Z,,2024-01-09T03:56:13.940Z,-0.26485144132130123,usd,-26.48514413213012
kava,kava,Kava,https://assets.coingecko.com/coins/images/9761/large/kava.png?1696509822,0.753161,815071647,84,815071646,19793162,8.13835,60917229,8.07755,1082861851,1082861850,,9.12,-91.74549,2021-08-30T11:10:02.948Z,0.287137,162.18545,2020-03-13T02:24:16.835Z,,2024-01-09T03:56:03.680Z,,,
gala,gala,GALA,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1696512310,0.0259744,812488520,85,812488265,392708150,12.26823,91810481,12.73946,31296647139.3476,31296637315.5917,50000000000,0.824837,-96.85716,2021-11-26T01:03:48.731Z,0.00013475,19138.14762,2020-12-28T08:46:48.367Z,,2024-01-09T03:56:13.238Z,,,
binance-usd,busd,BUSD,https://assets.coingecko.com/coins/images/9576/large/BUSDLOGO.jpg?1696509654,1.002,776237468,86,776237468,8082023333,0.48327,-153099275.03382266,-16.47404,775136119.74,775136119.74,,1.15,-13.60033,2020-03-13T02:35:42.953Z,0.901127,10.66457,2021-05-19T13:04:37.445Z,,2024-01-09T03:56:00.111Z,,,
helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1696504894,5.39,775435757,87,1201392219,12868562,10.17828,71822702,10.2077,143934820.830308,223000000,223000000,54.88,-90.23185,2021-11-12T23:08:25.301Z,0.113248,4633.40776,2020-04-18T00:19:10.902Z,,2024-01-09T03:55:56.030Z,,,
woo-network,woo,WOO,https://assets.coingecko.com/coins/images/12921/large/WOO_Logos_2023_Profile_Pic_WOO.png?1696512709,0.425823,770965927,88,950558190,50742367,15.41964,107087801,16.13064,1809030893.11776,2230434666.90186,2230434666.90186,1.78,-76.08601,2021-11-15T13:44:18.437Z,0.02211546,1822.91194,2021-01-04T10:19:13.803Z,,2024-01-09T03:55:52.137Z,,,
bonk,bonk,Bonk,https://assets.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,0.00001264,767577185,89,1182059948,233418004,29.92983,178105567,30.21444,60837624528359.55,93689234980611.55,100000000000000,0.00003416,-63.57012,2023-12-15T07:35:13.369Z,0.000000086142,14347.73183,2022-12-29T22:48:46.755Z,,2024-01-09T03:55:51.867Z,,,
iota,iota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1696501881,0.243547,748590125,90,1119331224,22550801,7.96465,55302255,7.97681,3076403570,4600000000,4600000000,5.25,-95.36049,2017-12-19T00:00:00.000Z,0.081637,198.29163,2020-03-13T02:22:41.168Z,,2024-01-09T03:56:14.476Z,2.870393088977153,btc,287.0393088977153
usdd,usdd,USDD,https://assets.coingecko.com/coins/images/25380/large/UUSD.jpg?1696524513,0.99007,718696587,91,,11506266,0.23549,1361109,0.18975,725332033.742248,,,1.052,-5.99006,2023-10-23T22:45:25.398Z,0.928067,6.5456,2022-06-19T16:15:11.558Z,,2024-01-09T03:55:33.941Z,,,
akash-network,akt,Akash Network,https://assets.coingecko.com/coins/images/12785/large/akash-logo.png?1696512580,3.18,713157601,92,713158386,9907315,12.88095,79633246,12.56988,224721137.948608,224721385.387913,388539008,8.07,-60.73665,2021-04-06T18:59:48.484Z,0.164994,1821.58845,2022-11-21T20:30:53.727Z,,2024-01-09T03:54:43.195Z,,,
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1696512440,2.92,711910056,93,1127270440,88687103,6.25918,28253185,4.13266,243675323.118189,385846479.485489,450000000,43.96,-93.36122,2021-04-30T10:08:22.934Z,0.194441,1401.08207,2020-11-03T14:29:34.165Z,,2024-01-09T03:56:10.137Z,,,
terra-luna,lunc,Terra Luna Classic,https://assets.coingecko.com/coins/images/8284/large/01_LunaClassic_color.png?1696508486,0.00012138,710712151,94,827431785,88492540,12.68891,81337885,12.92361,5852887746920.81,6814102376671.46,,119.18,-99.9999,2022-04-05T12:24:58.854Z,0.000000999967,12008.28763,2022-05-13T02:34:40.340Z,,2024-01-09T03:56:13.203Z,,,
fetch-ai,fet,Fetch.ai,https://assets.coingecko.com/coins/images/5681/large/Fetch.jpg?1696506140,0.671574,700769565,95,774331011,116184186,14.25718,90093910,14.75315,1043462805,1152997575,1152997575,1.17,-42.58019,2021-09-08T02:24:24.858Z,0.00816959,8137.34756,2020-03-13T02:24:18.347Z,,2024-01-09T03:55:57.918Z,6.745947847856919,usd,674.5947847856919
dydx,ethdydx,dYdX,https://assets.coingecko.com/coins/images/17500/large/hjnIm9bV.jpg?1696517040,2.58,699022582,96,2583155504,114184848,10.02298,65840317,10.39832,270608014.35696363,1000000000,1000000000,27.86,-90.73783,2021-09-30T01:23:43.570Z,1.011,155.34103,2022-06-18T20:55:50.603Z,,2024-01-09T03:55:50.233Z,,,
xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.050044,697550552,97,1902336421,16991665,1.81583,13945240,2.03995,13889995047.9,37880327674.95,,0.192754,-73.81204,2021-08-21T04:39:48.324Z,0.00039532,12669.05119,2019-07-22T00:00:00.000Z,,2024-01-09T03:56:12.004Z,1.8764834475504548,eth,187.64834475504549
frax-ether,frxeth,Frax Ether,https://assets.coingecko.com/coins/images/28284/large/frxETH_icon.png?1696527284,2294.15,695816853,98,695816853,3667852,4.84699,32055918,4.82944,303651.28997699,303651.28997699,,2427.56,-5.63574,2023-12-28T01:15:01.712Z,1137.25,101.42932,2022-11-23T02:25:33.267Z,,2024-01-09T03:55:41.936Z,,,
ecash,xec,eCash,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1696516207,0.0000349,694529819,99,744067259,13635846,14.86063,100570660,16.93225,19601892173092,21000000000000,21000000000000,0.00038001,-90.72393,2021-09-04T17:09:31.137Z,0.00001847,90.85246,2021-07-20T20:49:46.212Z,,2024-01-09T03:56:03.777Z,,,
gatechain-token,gt,Gate,https://assets.coingecko.com/coins/images/8183/large/gate.png?1696508395,5.05,688253762,100,1515618055,1554873,2.61705,16790437,2.50057,136232296.7235079,300000000,,12.94,-60.99087,2021-05-12T11:39:16.531Z,0.25754,1860.27885,2020-03-13T02:18:02.481Z,,2024-01-09T03:55:45.501Z,,,
